mesto,ocena,ime,kategorija,objave,vpisani,ogledi
1,A++,T-Series,music,13927,116.0,87011278231
2,A,PewDiePie,entertainment,3991,102.0,23798731725
4,A++,Cocomelon - Nursery Rhymes,education,469,63.8,42092956470
8,A,5-Minute Crafts,howto,3748,61.7,16163442260
9,A++,SET India,entertainment,33302,58.4,42305090305
10,A+,Canal KondZilla,music,1213,52.9,26950843861
11,A+,WWE,sports,44227,50.2,36777154026
12,B,Justin Bieber,entertainment,135,47.1,635628175
13,A,Dude Perfect,sports,217,46.9,9179627072
14,A+,Zee Music Company,music,4349,45.4,21085000322
15,A,Badabun,entertainment,4828,42.9,14689326881
16,A,Ed Sheeran,music,158,42.5,18415967659
17,A,Marshmello,music,377,40.4,7433992101
18,A-,HolaSoyGerman.,entertainment,137,39.9,4059953766
19,B+,EminemMusic,music,117,39.5,755373215
20,A-,Ariana Grande,music,135,38.6,912752071
21,A++,Like Nastya Vlog,people,321,37.5,18129660136
22,A-,whinderssonnunes,comedy,370,37.2,3114314565
23,A++,Zee TV,entertainment,80479,36.9,34354338112
24,A-,JuegaGerman,games,1663,36.9,10042675953
25,A+,✿ Kids Diana Show,entertainment,612,36.8,13453211737
26,B,Taylor Swift,music,173,36.2,292056718
27,A,elrubiusOMG,comedy,815,36.0,8059710294
28,B,Katy Perry,entertainment,102,35.4,363698252
29,A,TheEllenShow,entertainment,10897,34.9,17700293898
30,A,Felipe Neto,entertainment,2018,34.7,8060657017
31,A-,Fernanfloo,games,534,34.0,7477646693
32,A,JustinBieberVEVO,music,122,33.3,19125279955
34,B,Rihanna,entertainment,78,33.1,62796116
35,A,BRIGHT SIDE,howto,2988,31.1,5945715540
36,A,BLACKPINK,people,253,30.9,7677156506
37,A++,Movieclips,film,34285,30.5,28381487033
38,A,Alan Walker,music,205,30.4,7209093128
39,B,One Direction,music,157,30.1,351066765
40,A,ibighit,music,335,29.9,7210058665
41,A+,Shemaroo Filmi Gaane,music,6312,29.0,13599533564
43,A,Get Movies,entertainment,2975,28.9,21666593885
44,A,Goldmines Telefilms,film,500,28.8,5052809076
45,A,Você Sabia?,entertainment,957,28.8,3713034072
46,A+,Wave Music,music,17910,28.8,19433395959
47,A,Sony Music India,music,2490,28.5,11289645956
48,A+,Vlad and Nikita,,169,28.4,12015440943
49,B,YouTube,news,302,28.3,1883638576
50,A,ChuChu TV Nursery Rhymes &amp; Kids So…,education,328,27.8,19148889547
51,B,Maroon 5,music,154,27.8,265699042
52,A,VEGETTA777,games,5538,27.7,11195624725
53,A,Trap Nation,music,1817,27.5,10012337687
54,A,Luisito Comunica,comedy,707,27.4,3582846473
55,A+,El Reino Infantil,music,742,27.4,24384481345
56,A,TaylorSwiftVEVO,music,107,27.2,17758532624
57,A,LUCCAS NETO - LUCCAS TOON,people,737,27.0,7693086266
58,A,Маша и Медведь,film,661,26.7,21792131971
59,B,Shakira,people,238,26.6,166563109
60,B-,Luis Fonsi,entertainment,74,26.4,18035048
61,A,Ozuna,music,69,26.2,12685005587
62,A,GR6 EXPLODE,music,2842,26.2,12550727171
63,A,Speed Records,music,7644,26.2,13315057771
64,A,Spinnin' Records,music,9186,26.1,15451671808
